ID_ALUNO;NOME;SEXO;RG;DATA_NASC;EMAIL;TELEFONE;ENDERECO
761741;Benício Gomes;M;543.789.126-19;1973-12-31;benício.gomes@trabalhopuc.br;11 1095-3696;Loteamento Nunes, 64 São Sebastião 31614019 Nogueira / GO
218580;Otto Albuquerque;M;078.392.154-32;1960-11-26;otto.albuquerque@trabalhopuc.br;+55 81 2752-5245;Parque Alexia Sales, 623 Lorena 87755-362 Alves / CE
779291;Hellena Camargo;F;840.561.327-71;1969-08-31;hellena.camargo@trabalhopuc.br;11 0797-6450;Setor Marcela Cassiano Cidade Jardim 47459-340 Borges de Farias / RS
415847;Maysa Oliveira;F;560.317.489-75;1988-02-24;maysa.oliveira@trabalhopuc.br;(031) 2041 7767;Alameda Gabriel Sá, 69 Ernesto Nascimento 67583489 Aragão / RR
573244;Rael Cassiano;M;064.189.325-60;1994-12-03;rael.cassiano@trabalhopuc.br;71 1076 9149;Ladeira Rezende, 94 Nova Granada 44531968 Carvalho / PE
327325;Isis Cavalcanti;F;582.931.074-05;1965-10-09;isis.cavalcanti@trabalhopuc.br;(031) 4217 2779;Praia Luiz Gustavo Vargas, 8 Nova Esperança 51830-294 Sampaio de Souza / BA
907905;Henrique Pires;M;046.752.138-71;1967-11-12;henrique.pires@trabalhopuc.br;+55 (061) 4929 0172;Feira Luana Cassiano, 68 Pindura Saia 63738-318 Martins / ES
207547;João Teixeira;M;952.461.083-33;1994-02-13;joão.teixeira@trabalhopuc.br;+55 (031) 4633-3031;Sítio Camargo, 24 São Damião 36552863 Brito / PE
34808;Gabriela Rios;F;093.562.178-40;1994-06-20;gabriela.rios@trabalhopuc.br;(031) 6129 3427;Chácara de Silveira, 779 Centro 37129544 da Mota / CE
224735;Thiago Camargo;M;302.587.419-88;1983-04-06;thiago.camargo@trabalhopuc.br;+55 (021) 4741 4014;Esplanada Zoe Nunes, 79 Eymard 35349802 da Cruz / ES
109067;Matteo Machado;M;410.925.386-15;1962-02-05;matteo.machado@trabalhopuc.br;81 2321-5146;Viaduto Farias, 2 Horto 62186578 Rocha dos Dourados / CE
404722;Antonella Barros;F;182.367.409-78;1974-11-19;antonella.barros@trabalhopuc.br;31 4179-4450;Vereda João Pedro Cavalcanti, 86 Esplanada 61703006 Teixeira / AM
443219;Elisa Silva;F;984.510.623-42;1985-09-03;elisa.silva@trabalhopuc.br;(081) 2889 8996;Via Renan Nascimento, 1 Ventosa 65562406 Casa Grande da Prata / AM
6014;João Lucas Cirino;M;914.836.072-40;1959-02-22;joão lucas.cirino@trabalhopuc.br;0500 580 3797;Núcleo Pedro Lucas Cirino, 23 Alta Tensão 1ª Seção 70093-584 da Luz do Norte / MA
645500;Isis Azevedo;F;431.758.906-01;1960-09-01;isis.azevedo@trabalhopuc.br;(051) 4727 8776;Praia de Lopes, 349 Vila Paquetá 99897-264 da Cruz dos Dourados / SE
701137;Maria Júlia Nogueira;F;697.813.405-84;1964-09-17;maria júlia.nogueira@trabalhopuc.br;+55 (061) 6770-7547;Alameda de Porto, 49 Sagrada Família 48757-133 Rios / AP
498094;Vitória da Costa;F;687.329.450-00;1994-08-28;vitória.dacosta@trabalhopuc.br;(084) 8461 7562;Jardim Pietra Porto, 55 Maria Goretti 35676-679 Dias / MG
330089;Ester Martins;F;274.138.695-19;1974-05-08;ester.martins@trabalhopuc.br;0500-328-4078;Quadra Mariana Vasconcelos, 46 Pindura Saia 14920420 Macedo / RJ
459771;Lucas Siqueira;M;027.846.591-94;1982-02-23;lucas.siqueira@trabalhopuc.br;(081) 7551 5944;Área Lívia Vieira, 64 Teixeira Dias 62653-797 Cardoso / AP
205178;Enzo Gabriel Alves;M;602.958.137-68;1962-08-06;enzo gabriel.alves@trabalhopuc.br;(041) 3220-9010;Alameda João Miguel Castro, 56 Marilandia 69507-051 Camargo / AP
915434;Nina da Mota;F;318.297.650-86;1970-04-20;nina.damota@trabalhopuc.br;+55 61 1005-0509;Recanto Silveira, 3 Vila Sumaré 23152667 Montenegro / RR
729652;Zoe Machado;F;832.751.604-35;1982-12-26;zoe.machado@trabalhopuc.br;0900-573-0199;Parque de Sales, 749 Mangueiras 46933-122 Pinto de Jesus / TO
697323;Raquel Lima;F;721.048.635-62;1994-02-21;raquel.lima@trabalhopuc.br;+55 81 5207 3829;Lago Gustavo Henrique Cardoso, 148 Granja Werneck 98193830 Pereira da Mata / RR
970921;Davi Cardoso;M;742.956.810-67;1987-08-29;davi.cardoso@trabalhopuc.br;(084) 8060-5415;Loteamento Pereira, 49 São Marcos 75565-991 Campos / SE
803938;Sofia Barros;F;580.413.679-84;1992-05-13;sofia.barros@trabalhopuc.br;81 9273-4559;Chácara Marques, 23 Santa Amelia 43469455 Jesus da Prata / RO
322782;Dom Araújo;M;078.962.514-85;1982-09-30;dom.araújo@trabalhopuc.br;(051) 0444-4136;Recanto de Duarte, 89 Salgado Filho 91649130 Almeida do Galho / BA
946229;Stephany Lima;F;120.587.364-35;1973-05-28;stephany.lima@trabalhopuc.br;+55 (061) 9735 3659;Aeroporto Cirino, 57 Vila Primeiro De Maio 94535136 da Rocha / MS
